win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
0,0,0,0,0,0,0,0,3.0,5.0,1.0,6.0,2.0,1.0,89.0,-10.0,-1963.0,0.46788990825688076,1.0,3,1,0,1,0,0,0
1,1,0,1,1,1,1,2,2.0,3.0,2.0,6.0,1.0,1.0,105.0,4.0,927.0,0.4636363636363636,0.0,-1,0,0,0,0,0,0
1,2,0,0,1,0,1,3,1.0,1.0,2.0,7.0,0.0,2.0,86.0,-31.0,59.0,0.46846846846846846,0.5,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1.0,3.0,2.0,7.0,1.0,3.0,113.0,18.0,240.0,0.4732142857142857,0.6666666666666666,2,0,0,1,0,0,0
1,2,0,1,1,0,1,3,4.0,0.0,1.0,7.0,1.0,2.0,102.0,-5.0,224.0,0.4690265486725664,0.6666666666666666,-1,0,0,1,0,0,0
1,0,0,1,0,0,1,1,0.0,2.0,2.0,5.0,1.0,0.0,82.0,-8.0,-228.0,0.47368421052631576,0.75,1,0,0,1,0,0,0
0,1,0,0,1,1,1,1,1.0,5.0,6.0,6.0,0.0,2.0,94.0,18.0,276.0,0.4782608695652174,0.5,2,0,0,1,0,0,0
1,1,0,0,1,0,1,3,2.0,4.0,1.0,3.0,1.0,0.0,95.0,-3.0,-682.0,0.47413793103448276,0.5,-1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,2.0,3.0,3.0,6.0,0.0,1.0,99.0,1.0,-137.0,0.47863247863247865,0.5,1,0,0,1,0,0,0
1,1,0,0,1,1,0,3,1.0,1.0,4.0,6.0,2.0,1.0,116.0,7.0,251.0,0.4745762711864407,0.5,-1,0,0,1,0,0,0
0,1,0,1,0,1,1,0,2.0,1.0,2.0,6.0,1.0,2.0,108.0,-13.0,-1554.0,0.4789915966386555,0.5,1,0,0,1,0,0,0
0,0,0,0,1,0,1,3,0.0,1.0,3.0,9.0,6.0,1.0,27.0,7.0,355.0,0.475,0.5,-1,0,0,0,0,1,0
1,2,0,0,1,1,1,1,4.0,1.0,2.0,5.0,1.0,1.0,99.0,0.0,550.0,0.47107438016528924,0.8,-2,0,0,1,0,0,0
1,0,2,1,0,0,1,3,2.0,2.0,4.0,7.0,0.0,2.0,92.0,-14.0,-528.0,0.47540983606557374,0.8333333333333334,1,0,0,1,0,0,0
1,1,0,1,1,1,1,0,1.0,3.0,3.0,3.0,2.0,1.0,103.0,-3.0,-756.0,0.4796747967479675,0.48,2,0,1,0,0,0,0
0,3,0,1,0,0,1,1,3.0,0.0,3.0,2.0,0.0,2.0,88.0,-3.0,702.0,0.4838709677419355,0.5,3,1,1,0,0,0,0
1,0,0,0,0,1,0,0,2.0,4.0,0.0,4.0,0.0,2.0,73.0,-42.0,-1163.0,0.48,0.8571428571428571,-1,0,0,1,0,0,0
0,0,2,0,0,0,0,0,5.0,2.0,1.0,7.0,1.0,2.0,91.0,-18.0,-1285.0,0.48412698412698413,0.875,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,2.0,0.0,5.0,7.0,2.0,2.0,102.0,-3.0,-205.0,0.48031496062992124,0.7777777777777778,-1,0,0,1,0,0,0
